waveform	方波	正弦
t0	1904/1/1  08:00:00.000000	1904/1/1  08:00:00.000000
delta t	0.001000	0.001000

time	方波	正弦
1904/1/1  08:00:00.000000	1.000000E+0	0.000000E+0
1904/1/1  08:00:00.001000	1.000000E+0	1.879985E-1
1904/1/1  08:00:00.002000	1.000000E+0	3.692927E-1
1904/1/1  08:00:00.003000	1.000000E+0	5.374174E-1
1904/1/1  08:00:00.004000	1.000000E+0	6.863770E-1
1904/1/1  08:00:00.005000	1.000000E+0	8.108596E-1
1904/1/1  08:00:00.006000	1.000000E+0	9.064258E-1
1904/1/1  08:00:00.007000	1.000000E+0	9.696676E-1
1904/1/1  08:00:00.008000	1.000000E+0	9.983297E-1
1904/1/1  08:00:00.009000	1.000000E+0	9.913901E-1
1904/1/1  08:00:00.010000	1.000000E+0	9.490961E-1
1904/1/1  08:00:00.011000	1.000000E+0	8.729561E-1
1904/1/1  08:00:00.012000	1.000000E+0	7.656853E-1
1904/1/1  08:00:00.013000	1.000000E+0	6.311091E-1
1904/1/1  08:00:00.014000	1.000000E+0	4.740267E-1
1904/1/1  08:00:00.015000	1.000000E+0	3.000399E-1
1904/1/1  08:00:00.016000	1.000000E+0	1.153532E-1
1904/1/1  08:00:00.017000	-1.000000E+0	-7.344707E-2
1904/1/1  08:00:00.018000	-1.000000E+0	-2.596282E-1
1904/1/1  08:00:00.019000	-1.000000E+0	-4.365506E-1
1904/1/1  08:00:00.020000	-1.000000E+0	-5.979050E-1
1904/1/1  08:00:00.021000	-1.000000E+0	-7.379373E-1
1904/1/1  08:00:00.022000	-1.000000E+0	-8.516538E-1
1904/1/1  08:00:00.023000	-1.000000E+0	-9.349991E-1
1904/1/1  08:00:00.024000	-1.000000E+0	-9.850011E-1
1904/1/1  08:00:00.025000	-1.000000E+0	-9.998766E-1
1904/1/1  08:00:00.026000	-1.000000E+0	-9.790952E-1
1904/1/1  08:00:00.027000	-1.000000E+0	-9.233979E-1
1904/1/1  08:00:00.028000	-1.000000E+0	-8.347710E-1
1904/1/1  08:00:00.029000	-1.000000E+0	-7.163750E-1
1904/1/1  08:00:00.030000	-1.000000E+0	-5.724321E-1
1904/1/1  08:00:00.031000	-1.000000E+0	-4.080755E-1
1904/1/1  08:00:00.032000	-1.000000E+0	-2.291664E-1
1904/1/1  08:00:00.033000	-1.000000E+0	-4.208491E-2
1904/1/1  08:00:00.034000	1.000000E+0	1.464974E-1
1904/1/1  08:00:00.035000	1.000000E+0	3.298554E-1
1904/1/1  08:00:00.036000	1.000000E+0	5.014503E-1
1904/1/1  08:00:00.037000	1.000000E+0	6.551629E-1
1904/1/1  08:00:00.038000	1.000000E+0	7.855114E-1
